Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
wood,public,frequently,Mega Scale,17,1,Yes,YES,2245
natural gas,private,rarely,small Scale,14,0,Sometimes,NO,3927
wood,private,rarely,large Scale,6,0,Yes,YES,1012
coal,private,very frequently,Mega Scale,4,1,Sometimes,YES,3202
coal,public,very frequently,small Scale,23,1,No,YES,2359
coal,private,very frequently,large Scale,17,2,No,YES,3569
wood,public,rarely,small Scale,15,2,Yes,YES,1510
electricity,public,very frequently,Mega Scale,17,0,Yes,YES,1928
natural gas,public,rarely,medium Scale,3,2,Yes,YES,1726
electricity,private,very frequently,large Scale,16,0,No,YES,4414
natural gas,private,very frequently,small Scale,21,1,No,YES,3257
wood,public,rarely,large Scale,12,2,Yes,YES,2074
coal,public,rarely,Mega Scale,24,1,Yes,YES,1617
electricity,public,rarely,medium Scale,4,1,Yes,NO,1568
wood,public,frequently,medium Scale,21,0,Yes,NO,1749
wood,private,very frequently,small Scale,16,2,Sometimes,YES,3247
wood,public,very frequently,medium Scale,8,1,Sometimes,YES,2854
coal,public,frequently,large Scale,18,0,Sometimes,YES,2012
wood,public,frequently,medium Scale,19,0,No,YES,1530
electricity,public,frequently,large Scale,0,0,No,YES,1897
coal,public,very frequently,Mega Scale,19,1,Yes,NO,2749
coal,public,very frequently,medium Scale,16,1,Sometimes,YES,2552
coal,public,frequently,large Scale,2,2,No,YES,2893
electricity,private,rarely,Mega Scale,5,0,Sometimes,YES,1576
electricity,public,frequently,Mega Scale,13,0,Sometimes,YES,1944
electricity,private,very frequently,small Scale,13,1,Sometimes,YES,2080
natural gas,public,frequently,medium Scale,23,2,Sometimes,YES,2058
natural gas,public,very frequently,large Scale,24,1,Yes,YES,2354
wood,private,frequently,small Scale,6,1,No,YES,4845
natural gas,public,frequently,medium Scale,9,2,No,YES,2266
wood,private,very frequently,medium Scale,18,2,Sometimes,YES,2118
natural gas,public,very frequently,large Scale,22,2,Yes,YES,2812
natural gas,public,frequently,medium Scale,24,2,No,YES,2286
electricity,public,rarely,large Scale,23,2,Yes,YES,1437
coal,public,very frequently,small Scale,5,1,No,YES,3177
wood,public,frequently,small Scale,7,0,Yes,YES,1350
natural gas,private,rarely,medium Scale,4,0,Sometimes,YES,1236
coal,private,rarely,medium Scale,7,1,No,YES,1986
natural gas,public,rarely,Mega Scale,2,0,Sometimes,YES,2105
coal,public,rarely,medium Scale,18,2,Sometimes,YES,1348
natural gas,public,frequently,large Scale,0,1,Sometimes,YES,1606
natural gas,public,rarely,small Scale,14,0,No,YES,1476
wood,private,frequently,small Scale,14,0,Yes,YES,3530
coal,private,frequently,small Scale,12,0,Sometimes,YES,1559
electricity,private,very frequently,large Scale,10,2,No,YES,2720
wood,private,rarely,small Scale,20,1,Sometimes,YES,968
wood,public,rarely,medium Scale,14,0,Sometimes,YES,1402
natural gas,public,very frequently,small Scale,3,1,No,YES,2917
coal,private,frequently,medium Scale,11,0,Yes,YES,2431
wood,private,rarely,medium Scale,18,1,Yes,YES,3122
natural gas,public,very frequently,large Scale,20,2,Yes,YES,3236
natural gas,private,rarely,large Scale,13,2,Yes,YES,2317
coal,public,frequently,small Scale,22,0,No,YES,2023
coal,private,rarely,large Scale,24,2,No,NO,1887
coal,public,rarely,Mega Scale,23,2,No,YES,2092
coal,public,rarely,small Scale,3,0,Sometimes,YES,1666
coal,public,very frequently,medium Scale,14,1,Yes,YES,2679
natural gas,private,rarely,Mega Scale,4,0,No,YES,1691
coal,private,rarely,medium Scale,19,1,No,YES,3197
wood,public,frequently,Mega Scale,8,2,No,YES,2547
electricity,public,very frequently,large Scale,4,1,No,YES,3270
natural gas,public,rarely,medium Scale,12,0,No,YES,1599
wood,private,rarely,small Scale,23,1,No,YES,768
wood,public,very frequently,medium Scale,12,0,No,YES,2732
electricity,public,very frequently,large Scale,22,0,Yes,YES,2458
coal,public,very frequently,medium Scale,9,0,Yes,YES,2028
coal,public,very frequently,small Scale,2,1,Sometimes,YES,3071
coal,public,very frequently,large Scale,16,2,Sometimes,YES,3161
coal,private,frequently,large Scale,14,0,Yes,YES,3583
natural gas,public,very frequently,small Scale,16,1,Sometimes,YES,1941
natural gas,public,rarely,large Scale,6,1,No,YES,1376
natural gas,private,very frequently,Mega Scale,5,0,No,NO,3131
coal,public,very frequently,large Scale,9,2,No,YES,3619
electricity,public,frequently,medium Scale,23,1,Sometimes,YES,2022
coal,private,rarely,medium Scale,12,0,Yes,NO,4346
electricity,private,very frequently,large Scale,16,1,No,YES,2997
electricity,private,rarely,Mega Scale,15,2,Sometimes,YES,3300
coal,public,very frequently,medium Scale,2,2,Sometimes,YES,3372
wood,private,frequently,medium Scale,24,2,Yes,YES,2091
natural gas,private,very frequently,medium Scale,20,2,Yes,YES,3466
electricity,private,very frequently,Mega Scale,16,2,Sometimes,YES,4813
coal,public,rarely,medium Scale,10,2,Sometimes,YES,1745
natural gas,private,rarely,small Scale,13,1,No,YES,1555
wood,public,rarely,large Scale,24,0,Sometimes,YES,695
natural gas,private,very frequently,small Scale,18,1,Sometimes,YES,2793
wood,public,frequently,large Scale,8,2,No,YES,2543
coal,private,frequently,large Scale,1,2,Yes,YES,2268
natural gas,public,rarely,large Scale,7,2,No,YES,1877
electricity,public,frequently,large Scale,0,1,No,NO,1960
natural gas,public,frequently,large Scale,16,1,No,YES,1786
electricity,public,very frequently,small Scale,10,0,Sometimes,YES,2423
coal,public,rarely,small Scale,8,1,Sometimes,YES,1439
wood,public,rarely,Mega Scale,24,1,No,YES,2471
electricity,private,rarely,medium Scale,14,2,Yes,YES,1367
natural gas,private,rarely,large Scale,15,0,No,YES,788
coal,public,frequently,small Scale,15,1,No,YES,1661
coal,private,rarely,medium Scale,8,0,Yes,YES,1542
electricity,private,rarely,small Scale,7,0,Sometimes,YES,511
electricity,public,frequently,medium Scale,15,2,Sometimes,NO,1916
electricity,private,rarely,Mega Scale,9,2,Sometimes,YES,1024
natural gas,public,rarely,small Scale,15,2,Sometimes,YES,1403
coal,private,very frequently,large Scale,2,1,No,YES,3221
coal,private,rarely,large Scale,24,0,No,YES,4858
electricity,private,rarely,small Scale,20,0,Yes,YES,778
wood,private,frequently,Mega Scale,7,1,Sometimes,YES,3594
wood,public,rarely,large Scale,22,1,Yes,YES,1020
wood,private,rarely,medium Scale,0,1,Sometimes,YES,1506
coal,private,rarely,large Scale,11,1,No,YES,3070
electricity,private,frequently,large Scale,9,0,No,YES,2908
coal,public,frequently,small Scale,17,2,Yes,NO,2549
natural gas,public,rarely,large Scale,15,2,Yes,YES,2189
natural gas,public,rarely,small Scale,4,1,Sometimes,YES,1244
coal,public,rarely,small Scale,2,1,Sometimes,YES,1377
coal,private,rarely,small Scale,20,0,Yes,YES,2410
coal,private,rarely,small Scale,21,1,Yes,YES,1513
electricity,private,rarely,medium Scale,7,1,Sometimes,YES,1392
electricity,public,frequently,small Scale,19,1,Sometimes,YES,1979
electricity,private,very frequently,large Scale,1,2,Yes,YES,2869
natural gas,public,frequently,medium Scale,6,2,No,YES,1776
natural gas,private,frequently,medium Scale,14,2,Sometimes,YES,3214
natural gas,public,rarely,medium Scale,15,1,No,YES,892
wood,private,very frequently,small Scale,11,1,Sometimes,YES,3552
coal,public,rarely,large Scale,4,0,No,YES,2228
wood,private,rarely,small Scale,15,2,Yes,YES,2065
coal,public,rarely,Mega Scale,6,2,Yes,YES,2789
wood,private,very frequently,small Scale,0,1,Yes,YES,2681
coal,public,very frequently,large Scale,9,1,Yes,YES,3432
wood,private,frequently,Mega Scale,3,0,Sometimes,YES,1795
coal,private,very frequently,large Scale,15,2,Sometimes,YES,5884
natural gas,public,frequently,medium Scale,6,2,Yes,YES,1773
wood,private,frequently,Mega Scale,19,0,Sometimes,YES,1536
coal,public,frequently,large Scale,14,2,No,YES,2811
natural gas,private,very frequently,medium Scale,3,2,Sometimes,YES,4706
electricity,public,rarely,Mega Scale,21,1,No,YES,1325
coal,private,frequently,Mega Scale,4,0,Yes,YES,3906
natural gas,private,rarely,large Scale,21,1,Sometimes,YES,1888
electricity,public,very frequently,Mega Scale,12,2,No,YES,3030
wood,private,very frequently,medium Scale,16,2,Yes,YES,3604
coal,private,frequently,medium Scale,15,1,Yes,YES,4990
electricity,private,very frequently,Mega Scale,24,1,Sometimes,YES,2745
natural gas,private,rarely,medium Scale,15,2,No,YES,3542
electricity,private,frequently,small Scale,24,0,Yes,YES,3198
electricity,private,rarely,small Scale,21,2,No,YES,2050
electricity,private,very frequently,large Scale,12,0,No,YES,2205
wood,public,frequently,medium Scale,5,2,Yes,YES,2015
electricity,private,rarely,Mega Scale,8,2,Yes,YES,1482
coal,public,rarely,medium Scale,7,2,Sometimes,YES,1642
electricity,public,rarely,Mega Scale,14,2,Sometimes,YES,973
natural gas,private,very frequently,large Scale,0,1,No,YES,3439
electricity,private,rarely,large Scale,21,0,Yes,NO,1742
natural gas,public,very frequently,Mega Scale,10,2,Yes,YES,3310
electricity,public,rarely,Mega Scale,13,1,Sometimes,YES,1702
electricity,public,frequently,medium Scale,17,2,Sometimes,YES,1533
natural gas,private,very frequently,medium Scale,24,0,No,YES,1916
electricity,public,very frequently,small Scale,20,0,Sometimes,YES,2866
wood,private,rarely,large Scale,20,0,No,YES,3307
electricity,public,rarely,medium Scale,4,1,Yes,YES,1082
natural gas,private,frequently,Mega Scale,13,1,No,YES,2119
wood,public,very frequently,Mega Scale,14,2,Yes,YES,3247
natural gas,public,very frequently,Mega Scale,14,0,Yes,YES,2265
coal,public,rarely,large Scale,4,0,Sometimes,YES,1354
natural gas,private,very frequently,Mega Scale,8,2,No,YES,2753
natural gas,public,frequently,small Scale,10,2,Yes,YES,1600
wood,public,rarely,large Scale,3,1,Yes,YES,1186
natural gas,public,rarely,Mega Scale,22,1,No,YES,2098
natural gas,public,rarely,Mega Scale,7,1,No,YES,1823
electricity,private,rarely,medium Scale,9,0,Yes,YES,2085
wood,public,frequently,Mega Scale,21,2,No,YES,2473
natural gas,private,rarely,large Scale,8,1,Sometimes,YES,4684
coal,public,rarely,medium Scale,13,1,Sometimes,YES,1495
electricity,private,frequently,large Scale,3,0,Yes,YES,1761
wood,private,very frequently,small Scale,19,0,Yes,YES,5069
natural gas,private,rarely,medium Scale,7,0,Yes,YES,1140
natural gas,private,rarely,Mega Scale,6,0,No,YES,4045
electricity,public,very frequently,small Scale,13,2,Sometimes,YES,2560
electricity,private,rarely,medium Scale,13,1,Sometimes,YES,3867
coal,public,rarely,large Scale,14,0,Sometimes,YES,1470
electricity,public,frequently,Mega Scale,19,0,No,NO,2341
natural gas,private,very frequently,Mega Scale,12,0,Yes,YES,5687
electricity,private,frequently,Mega Scale,5,2,Sometimes,YES,2032
coal,private,very frequently,large Scale,6,2,No,YES,2499
natural gas,public,rarely,Mega Scale,22,1,No,NO,1825
coal,public,rarely,Mega Scale,19,2,No,YES,1829
natural gas,private,rarely,small Scale,6,0,Sometimes,YES,866
natural gas,private,very frequently,small Scale,16,1,No,YES,2601
wood,public,very frequently,large Scale,21,2,Yes,YES,2965
wood,public,rarely,small Scale,5,0,Sometimes,YES,1068
coal,private,very frequently,medium Scale,9,0,Yes,YES,3361
natural gas,public,very frequently,medium Scale,5,2,Sometimes,YES,3220
electricity,public,very frequently,Mega Scale,22,2,Sometimes,YES,2487
wood,public,frequently,medium Scale,19,0,Sometimes,YES,1536
electricity,private,very frequently,small Scale,8,2,Yes,YES,4338
electricity,public,very frequently,large Scale,23,1,No,YES,3332
coal,public,frequently,small Scale,18,0,Sometimes,YES,1606
electricity,private,very frequently,small Scale,6,0,No,YES,2132
natural gas,public,very frequently,medium Scale,13,1,Sometimes,YES,1780
wood,public,very frequently,small Scale,4,0,No,YES,1730
coal,private,rarely,Mega Scale,11,2,Yes,NO,4950
natural gas,private,rarely,small Scale,23,2,Yes,YES,3041
electricity,public,rarely,small Scale,19,0,Sometimes,YES,923
coal,public,rarely,large Scale,21,0,No,YES,2033
natural gas,private,rarely,medium Scale,19,0,Sometimes,YES,1596
wood,private,frequently,medium Scale,19,0,Sometimes,YES,1686
natural gas,public,very frequently,Mega Scale,9,0,Sometimes,YES,3291
wood,public,rarely,large Scale,12,1,Sometimes,YES,1133
coal,private,rarely,medium Scale,17,0,Yes,YES,1589
electricity,private,rarely,Mega Scale,0,1,No,YES,2572
wood,private,frequently,small Scale,20,1,Yes,YES,4136
electricity,public,very frequently,large Scale,6,1,No,YES,3154
wood,public,frequently,large Scale,12,2,No,YES,2086
natural gas,private,very frequently,small Scale,18,0,Sometimes,YES,1951
electricity,private,frequently,small Scale,16,2,Sometimes,YES,2330
coal,private,very frequently,Mega Scale,6,1,No,YES,3842
wood,private,rarely,Mega Scale,20,2,Sometimes,YES,2441
electricity,private,very frequently,large Scale,9,0,Sometimes,YES,3147
wood,public,rarely,small Scale,3,1,No,YES,946
natural gas,public,rarely,Mega Scale,3,0,Sometimes,YES,1229
wood,private,rarely,small Scale,15,1,Yes,YES,3143
wood,private,very frequently,Mega Scale,12,0,Yes,YES,3572
coal,public,very frequently,large Scale,13,0,Sometimes,NO,2869
electricity,private,rarely,medium Scale,18,2,Yes,YES,1598
coal,private,rarely,large Scale,13,0,Sometimes,YES,1711
natural gas,public,very frequently,large Scale,10,0,Yes,YES,1844
electricity,private,frequently,large Scale,5,2,Sometimes,YES,1444
coal,private,rarely,large Scale,11,0,No,YES,2068
wood,public,rarely,small Scale,11,1,No,YES,951
natural gas,private,frequently,small Scale,15,0,Yes,YES,2153
natural gas,public,rarely,medium Scale,24,0,No,YES,994
natural gas,private,rarely,medium Scale,24,0,Yes,YES,1371
coal,private,very frequently,Mega Scale,19,2,Yes,YES,3231
natural gas,public,frequently,small Scale,5,2,No,YES,2356
wood,public,rarely,large Scale,17,1,Sometimes,YES,1312
wood,public,rarely,medium Scale,13,0,Sometimes,YES,1463
coal,private,frequently,Mega Scale,18,1,No,YES,5176
natural gas,private,very frequently,Mega Scale,1,0,No,YES,3348
natural gas,public,rarely,medium Scale,16,1,Sometimes,YES,1807
coal,private,rarely,small Scale,8,0,Sometimes,YES,4640
wood,public,very frequently,large Scale,15,1,No,YES,2631
natural gas,public,very frequently,large Scale,14,2,No,YES,2256
electricity,private,frequently,medium Scale,20,0,Yes,YES,2775
electricity,public,frequently,small Scale,4,1,Sometimes,YES,1246
coal,private,very frequently,small Scale,23,1,No,YES,3610
coal,public,frequently,Mega Scale,13,2,Sometimes,YES,2548
natural gas,private,frequently,small Scale,7,1,Sometimes,YES,3052
wood,public,frequently,large Scale,23,1,No,YES,2363
natural gas,public,frequently,medium Scale,5,2,Yes,YES,2399
electricity,private,very frequently,small Scale,19,2,Sometimes,YES,4580
wood,private,very frequently,Mega Scale,22,1,Yes,YES,3258
electricity,private,rarely,large Scale,1,1,Yes,YES,3129
electricity,private,frequently,Mega Scale,1,2,No,YES,2647
coal,private,rarely,small Scale,11,1,Sometimes,YES,1356
electricity,private,frequently,large Scale,5,1,Yes,NO,2130
wood,public,rarely,small Scale,8,1,Yes,NO,1485
coal,private,frequently,large Scale,16,2,Yes,YES,2746
wood,private,very frequently,medium Scale,10,2,Yes,YES,3110
natural gas,private,rarely,small Scale,9,1,Sometimes,YES,1381
wood,private,rarely,small Scale,18,0,Sometimes,YES,1067
wood,private,frequently,small Scale,2,2,Yes,YES,2147
electricity,public,rarely,large Scale,4,2,Sometimes,NO,1668
natural gas,public,rarely,Mega Scale,8,0,No,YES,1376
electricity,public,rarely,small Scale,23,2,No,YES,1316
coal,public,frequently,large Scale,11,1,Sometimes,YES,2627
natural gas,public,very frequently,large Scale,24,1,Sometimes,YES,3187
natural gas,private,very frequently,medium Scale,15,2,Yes,NO,3038
natural gas,private,rarely,Mega Scale,10,0,Yes,YES,1130
wood,private,very frequently,small Scale,13,0,No,YES,3725
coal,public,rarely,medium Scale,3,1,Yes,YES,1539
wood,public,rarely,medium Scale,13,1,No,YES,1597
electricity,private,rarely,small Scale,24,0,Sometimes,YES,606
coal,public,frequently,Mega Scale,0,1,Yes,YES,1942
coal,private,rarely,medium Scale,16,1,Yes,YES,1208
coal,public,very frequently,small Scale,16,2,Yes,YES,2875
wood,private,very frequently,Mega Scale,17,2,Yes,YES,6093
coal,public,frequently,small Scale,22,2,No,YES,1953
wood,private,frequently,Mega Scale,22,2,Sometimes,YES,4130
wood,private,frequently,large Scale,13,2,Yes,YES,2935
electricity,public,rarely,Mega Scale,21,1,Yes,YES,844
natural gas,public,very frequently,medium Scale,21,2,Yes,YES,3365
coal,private,rarely,medium Scale,16,2,Yes,YES,1931
natural gas,private,rarely,medium Scale,14,1,Sometimes,YES,1785
natural gas,public,frequently,medium Scale,4,2,Sometimes,YES,2581
electricity,private,rarely,large Scale,9,1,No,YES,3495
wood,public,rarely,small Scale,17,1,Yes,YES,1083
wood,public,very frequently,small Scale,7,1,No,YES,2028
wood,private,frequently,Mega Scale,8,2,Yes,YES,3425
electricity,private,frequently,Mega Scale,18,0,No,YES,1316
coal,private,frequently,large Scale,9,2,Sometimes,YES,2686
electricity,private,rarely,small Scale,7,1,Sometimes,YES,1009
coal,private,very frequently,large Scale,14,0,Sometimes,YES,3218
coal,public,frequently,large Scale,15,2,Sometimes,YES,2598
coal,private,rarely,medium Scale,11,1,Sometimes,YES,1245
electricity,private,frequently,small Scale,20,2,Yes,YES,2281
wood,private,rarely,small Scale,0,1,Yes,YES,1096
natural gas,private,rarely,Mega Scale,5,1,Yes,YES,1486
coal,private,frequently,Mega Scale,5,1,Yes,YES,3482
coal,private,rarely,small Scale,6,1,Yes,YES,2542
wood,public,rarely,small Scale,15,2,No,YES,1688
natural gas,public,rarely,Mega Scale,6,2,Sometimes,YES,1799
electricity,public,frequently,small Scale,12,1,Sometimes,YES,1461
electricity,public,rarely,Mega Scale,1,2,Sometimes,YES,1278
electricity,private,frequently,Mega Scale,24,2,Yes,YES,1474
natural gas,public,frequently,Mega Scale,5,2,Yes,YES,2465
electricity,private,rarely,medium Scale,24,1,No,YES,1226
electricity,private,rarely,small Scale,17,2,Sometimes,YES,1013
electricity,private,rarely,small Scale,20,0,Sometimes,YES,1587
electricity,public,rarely,small Scale,2,2,Yes,YES,1296
wood,public,rarely,large Scale,2,1,Sometimes,YES,1377
natural gas,public,very frequently,large Scale,8,1,Yes,YES,2580
coal,public,frequently,large Scale,0,2,Yes,YES,1684
electricity,private,rarely,medium Scale,11,1,No,YES,1787
electricity,private,frequently,small Scale,1,1,Sometimes,YES,1276
wood,public,rarely,medium Scale,20,0,No,YES,1585
electricity,private,rarely,small Scale,14,1,No,YES,2386
electricity,private,rarely,medium Scale,1,0,No,NO,1991
wood,private,frequently,medium Scale,3,1,Sometimes,YES,3202
natural gas,public,rarely,small Scale,22,2,Yes,YES,2005
coal,public,frequently,small Scale,11,1,Yes,YES,1808
coal,private,very frequently,small Scale,24,1,Sometimes,YES,4350
natural gas,private,frequently,small Scale,13,1,Sometimes,YES,4570
coal,public,frequently,medium Scale,17,1,Sometimes,YES,2078
coal,private,rarely,medium Scale,8,1,No,YES,1761
coal,public,very frequently,Mega Scale,2,1,No,YES,3062
natural gas,public,rarely,large Scale,22,2,No,YES,1843
coal,public,very frequently,small Scale,22,2,No,YES,2927
coal,private,rarely,Mega Scale,20,2,Yes,YES,2309
wood,private,frequently,small Scale,8,0,No,YES,1276
electricity,private,frequently,medium Scale,2,2,Yes,YES,3542
natural gas,public,frequently,small Scale,22,1,No,YES,1245
natural gas,public,very frequently,small Scale,3,0,Yes,NO,2123
natural gas,private,frequently,Mega Scale,7,1,No,YES,2070
electricity,private,rarely,large Scale,14,1,Yes,YES,1064
coal,public,very frequently,small Scale,23,1,Yes,NO,2945
natural gas,private,very frequently,medium Scale,2,1,Yes,YES,3261
electricity,public,rarely,small Scale,21,1,No,YES,1015
electricity,public,rarely,Mega Scale,2,0,Sometimes,YES,1749
coal,private,very frequently,large Scale,13,0,Yes,YES,2311
coal,private,frequently,medium Scale,24,2,Sometimes,YES,2451
natural gas,public,frequently,Mega Scale,22,1,Yes,YES,2086
coal,public,very frequently,small Scale,22,1,No,YES,2752
electricity,public,rarely,Mega Scale,8,0,No,YES,1457
wood,public,frequently,small Scale,21,0,No,YES,1523
wood,public,rarely,small Scale,17,1,Sometimes,YES,1255
wood,private,rarely,Mega Scale,15,1,No,YES,4220
wood,public,very frequently,large Scale,12,1,Sometimes,YES,2175
electricity,private,very frequently,Mega Scale,14,2,No,NO,5474
natural gas,public,rarely,Mega Scale,14,1,Yes,YES,1993
coal,public,very frequently,large Scale,9,1,No,YES,2402
electricity,private,frequently,Mega Scale,4,0,Sometimes,YES,2865
wood,private,rarely,large Scale,18,1,No,YES,1587
electricity,private,frequently,Mega Scale,5,0,Yes,YES,4178
natural gas,private,rarely,medium Scale,11,2,Yes,YES,1792
natural gas,private,rarely,medium Scale,21,2,Yes,YES,3223
natural gas,private,very frequently,medium Scale,10,2,No,YES,6438
electricity,private,very frequently,large Scale,24,2,Sometimes,YES,3166
natural gas,private,rarely,large Scale,0,2,Sometimes,YES,1284
wood,public,frequently,large Scale,19,0,No,YES,1493
natural gas,public,rarely,Mega Scale,16,2,No,YES,2735
electricity,private,frequently,small Scale,22,0,No,YES,3397
natural gas,public,very frequently,medium Scale,14,1,Sometimes,YES,2611
natural gas,public,frequently,medium Scale,5,2,Yes,YES,1478
wood,public,very frequently,large Scale,2,0,No,YES,2917
coal,private,frequently,large Scale,11,1,No,YES,2442
coal,private,rarely,Mega Scale,5,1,Sometimes,YES,4144
natural gas,public,rarely,medium Scale,1,0,Sometimes,YES,1078
electricity,public,rarely,large Scale,22,2,Sometimes,YES,1161
wood,public,rarely,Mega Scale,3,2,Yes,YES,2363
electricity,public,rarely,medium Scale,4,1,No,YES,1926
electricity,public,rarely,Mega Scale,21,1,Yes,YES,1530
wood,public,frequently,small Scale,9,1,Sometimes,YES,1534
coal,private,rarely,small Scale,9,1,Sometimes,YES,1325
natural gas,public,very frequently,medium Scale,23,0,Yes,YES,2262
electricity,public,frequently,Mega Scale,4,1,Yes,YES,2213
wood,public,very frequently,large Scale,20,1,Sometimes,YES,3141
natural gas,private,rarely,Mega Scale,7,0,Sometimes,YES,1704
wood,public,rarely,medium Scale,11,2,Yes,YES,1479
coal,private,frequently,small Scale,17,2,Sometimes,YES,1999
coal,private,frequently,small Scale,8,2,No,YES,2534
electricity,public,rarely,Mega Scale,21,0,Sometimes,YES,2037
electricity,public,rarely,small Scale,22,1,Sometimes,YES,1122
electricity,public,very frequently,large Scale,0,1,Yes,YES,1723
wood,private,rarely,large Scale,18,2,Yes,YES,5416
natural gas,public,rarely,Mega Scale,0,1,No,YES,1685
natural gas,private,very frequently,Mega Scale,9,2,Yes,YES,5267
natural gas,public,frequently,large Scale,20,1,Yes,YES,1827
natural gas,private,rarely,medium Scale,13,0,No,YES,3234
wood,public,rarely,medium Scale,1,0,Yes,YES,1433
wood,private,frequently,Mega Scale,14,1,Yes,YES,2263
natural gas,public,rarely,Mega Scale,17,2,Yes,YES,1433
natural gas,private,very frequently,medium Scale,12,2,Sometimes,YES,2235
electricity,private,frequently,medium Scale,23,0,No,YES,1414
wood,public,rarely,medium Scale,8,2,No,YES,2237
coal,private,very frequently,medium Scale,9,0,No,YES,2373
coal,private,rarely,medium Scale,22,1,Yes,YES,2307
electricity,private,frequently,Mega Scale,12,0,Sometimes,YES,3164
electricity,public,rarely,large Scale,10,0,Sometimes,YES,692
natural gas,private,very frequently,medium Scale,2,2,No,YES,4615
coal,private,rarely,Mega Scale,24,2,No,YES,2141
wood,private,very frequently,medium Scale,3,0,No,YES,1894
electricity,public,rarely,medium Scale,15,2,No,YES,930
natural gas,public,very frequently,Mega Scale,9,1,Yes,YES,2645
electricity,private,rarely,large Scale,10,1,Sometimes,YES,1364
wood,private,very frequently,small Scale,17,1,No,YES,3708
electricity,public,frequently,Mega Scale,17,2,Sometimes,YES,2336
electricity,private,rarely,large Scale,20,1,No,YES,1422
electricity,private,frequently,small Scale,20,1,No,YES,1797
electricity,public,very frequently,large Scale,11,2,No,YES,2118
electricity,private,rarely,medium Scale,9,1,No,YES,2764
coal,public,very frequently,Mega Scale,20,2,Yes,YES,3678
coal,private,very frequently,Mega Scale,14,2,Yes,YES,5696
electricity,public,rarely,small Scale,21,0,Yes,YES,495
coal,private,very frequently,small Scale,11,2,Yes,YES,2539
wood,private,very frequently,large Scale,2,2,Sometimes,YES,6355
electricity,public,frequently,medium Scale,11,2,Sometimes,YES,1608
coal,private,frequently,medium Scale,6,0,No,YES,1527
natural gas,public,very frequently,medium Scale,22,2,Sometimes,YES,2398
natural gas,private,very frequently,large Scale,23,0,Yes,YES,2110
electricity,private,rarely,Mega Scale,2,1,No,YES,1221
coal,private,rarely,medium Scale,8,0,No,YES,1548
electricity,public,frequently,Mega Scale,9,2,Sometimes,YES,2390
electricity,private,rarely,large Scale,11,1,No,YES,1010
coal,private,rarely,small Scale,14,0,Yes,YES,1558
coal,private,rarely,small Scale,12,0,Yes,YES,2983
coal,public,rarely,Mega Scale,17,1,Sometimes,YES,2007
natural gas,public,rarely,medium Scale,22,0,No,YES,1212
natural gas,private,rarely,large Scale,12,0,Yes,YES,2632
coal,public,very frequently,small Scale,18,1,Yes,YES,2927
wood,private,frequently,medium Scale,11,0,No,YES,3844
natural gas,public,frequently,medium Scale,2,1,No,YES,1744
coal,private,rarely,Mega Scale,12,2,Yes,YES,3079
electricity,public,very frequently,small Scale,17,1,Sometimes,YES,1983
natural gas,public,rarely,medium Scale,2,1,Sometimes,YES,1087
natural gas,private,frequently,large Scale,16,1,Yes,YES,3898
coal,private,rarely,medium Scale,24,2,Sometimes,NO,2225
wood,public,rarely,small Scale,7,0,Yes,YES,880
natural gas,public,frequently,small Scale,20,2,Sometimes,YES,2199
electricity,private,rarely,small Scale,11,2,No,NO,1501
electricity,private,rarely,Mega Scale,24,2,No,YES,2104
electricity,public,very frequently,medium Scale,0,1,Sometimes,YES,2441
coal,private,rarely,small Scale,3,0,Yes,YES,1758
coal,private,rarely,large Scale,21,1,Sometimes,YES,3627
natural gas,public,very frequently,Mega Scale,22,2,Sometimes,YES,3640
natural gas,private,frequently,large Scale,5,0,Sometimes,YES,1892
electricity,public,rarely,large Scale,15,2,Sometimes,NO,1443
natural gas,public,frequently,small Scale,17,1,Sometimes,NO,1951
natural gas,public,frequently,medium Scale,14,0,No,YES,2031
natural gas,private,rarely,medium Scale,7,2,Yes,YES,1950
electricity,public,rarely,large Scale,9,0,No,YES,824
electricity,private,very frequently,medium Scale,22,1,Yes,YES,1947
wood,public,very frequently,small Scale,24,1,Yes,YES,2401
electricity,private,frequently,small Scale,23,1,Yes,YES,2210
electricity,public,rarely,medium Scale,7,0,Sometimes,YES,806
electricity,private,frequently,large Scale,4,1,Sometimes,YES,2260
coal,private,very frequently,large Scale,21,0,Yes,YES,2265
coal,public,very frequently,large Scale,21,2,Sometimes,YES,2786
wood,private,rarely,small Scale,16,2,Sometimes,YES,2799
natural gas,private,rarely,large Scale,15,0,No,YES,1782
natural gas,public,very frequently,large Scale,7,1,Yes,YES,2696
natural gas,private,rarely,large Scale,6,2,No,YES,1702
electricity,public,rarely,Mega Scale,0,0,Yes,YES,1160
natural gas,public,rarely,Mega Scale,8,0,Sometimes,YES,1201
wood,public,rarely,small Scale,2,2,No,YES,1490
natural gas,public,very frequently,Mega Scale,19,0,No,YES,2359
wood,private,rarely,Mega Scale,15,0,Yes,YES,1337
electricity,public,rarely,medium Scale,6,2,Sometimes,YES,1116
wood,public,rarely,small Scale,24,0,Yes,YES,867
wood,private,rarely,large Scale,20,2,Yes,YES,1970
wood,public,rarely,medium Scale,18,0,Sometimes,YES,1092
